Bin center(Gy),TR
0.03,0
0.08,0
0.13,0
0.18,0
0.23,0
0.28,0
0.33,0
0.38,0
0.43,0
0.48,0
0.53,0
0.58,0
0.63,0
0.68,0
0.73,0
0.78,0
0.83,0
0.88,0
0.93,0
0.98,0
1.03,0
1.08,0
1.13,0
1.18,0
1.23,0
1.28,0
1.33,0
1.38,0.02
1.43,0.22
1.48,0.61
1.53,1.22
1.58,2
1.63,2.85
1.68,3.53
1.73,3.9
1.78,4.15
1.83,4.17
1.88,4.19
1.93,4.28
1.98,4.27
2.03,4.44
2.08,4.36
2.13,4.25
2.18,4.07
2.23,3.95
2.28,3.75
2.33,3.69
2.38,3.64
2.43,3.64
2.48,3.71
2.53,3.72
2.58,3.83
2.63,3.95
2.68,4.13
2.73,4.35
2.78,4.68
2.83,4.99
2.88,5.36
2.93,5.67
2.98,6.23
3.03,6.87
3.08,7.27
3.13,7.76
3.18,8.15
3.23,8.52
3.28,8.74
3.33,8.85
3.38,8.87
3.43,8.98
3.48,9.02
3.53,8.91
3.58,8.97
3.63,8.81
3.68,8.81
3.73,8.88
3.78,9.06
3.83,8.82
3.88,8.79
3.93,8.98
3.98,8.62
4.03,8.55
4.08,8.71
4.13,8.29
4.18,8.37
4.23,8.43
4.28,7.97
4.33,8.08
4.38,7.92
4.43,7.78
4.48,7.77
4.53,7.73
4.58,7.68
4.63,7.49
4.68,7.19
4.73,7.16
4.78,6.8
4.83,6.65
4.88,6.39
4.93,6.08
4.98,5.95
5.03,5.72
5.08,5.58
5.13,5.3
5.18,4.93
5.23,4.92
5.28,4.41
5.33,4.27
5.38,3.86
5.43,3.58
5.48,3.39
5.53,3.04
5.58,2.94
5.63,2.68
5.68,2.62
5.73,2.36
5.78,2.4
5.83,2.21
5.88,2.18
5.93,2.05
5.98,2.01
6.03,1.88
6.08,1.82
6.13,1.67
6.18,1.59
6.23,1.43
6.28,1.45
6.33,1.24
6.38,1.24
6.43,1.18
6.48,1.12
6.53,1.02
6.58,1.01
6.63,0.94
6.68,0.91
6.73,0.84
6.78,0.79
6.83,0.8
6.88,0.69
6.93,0.69
6.98,0.62
7.03,0.6
7.08,0.58
7.13,0.51
7.18,0.51
7.23,0.43
7.28,0.42
7.33,0.38
7.38,0.35
7.43,0.32
7.48,0.29
7.53,0.28
7.58,0.22
7.63,0.22
7.68,0.18
7.73,0.15
7.78,0.13
7.83,0.11
7.88,0.08
7.93,0.05
7.98,0.03
8.03,0.01
8.08,0
8.13,0
8.18,0
8.23,0
8.28,0
8.33,0
8.38,0
8.43,0
8.48,0
8.53,0
8.58,0
8.63,0
8.68,0
8.73,0
8.78,0
8.83,0
8.88,0
8.93,0
8.98,0
